1	4.63016401837384e-05	8.43245419248389e-12
2	5.12062325430061e-05	4.07231647434686e-12
3	4.98272667536128e-05	2.58099047130948e-12
4	4.85519600351116e-05	1.86534193477233e-12
5	4.7464558328321e-05	1.45577124550476e-12
6	4.65397766066731e-05	1.11324180299654e-12
7	4.57450000037479e-05	9.47957286417229e-13
8	4.50536214784738e-05	7.73303127714321e-13
9	4.44454060315667e-05	6.4456253071703e-13
10	4.39050664769578e-05	5.85639620432129e-13
11	4.34209348218312e-05	5.03725545538393e-13
12	4.29839720639395e-05	4.38429187764811e-13
13	4.25870662855583e-05	3.85452684887338e-13
14	4.22245383645769e-05	3.65660761384318e-13
15	4.18917910679947e-05	3.26718572946415e-13
16	4.15850565917229e-05	2.9385923544873e-13
17	4.57124662958293e-05	2.65856226017934e-13
18	4.54218903720918e-05	2.41781059483124e-13
19	4.51512053871704e-05	2.35977327736224e-13
20	4.48983429598971e-05	2.16531890803377e-13
21	4.4661527401557e-05	1.99454372218032e-13
22	4.44392238929225e-05	1.84369319426601e-13
23	4.42300975369092e-05	1.70973666644338e-13
24	4.40329806795447e-05	1.59020474271863e-13
25	4.38468465874321e-05	1.58190766359659e-13
26	4.36707880629611e-05	1.47905906254446e-13
27	4.35039999325216e-05	1.38614277035761e-13
28	4.33457646001056e-05	1.30190224738848e-13
29	4.31954400476267e-05	1.22527548814554e-13
30	4.30524498035822e-05	1.15535970368699e-13
31	4.2916274506918e-05	1.09138330729081e-13
32	4.27864447726325e-05	1.10001186350584e-13
33	4.26625351265527e-05	1.04249632820527e-13
34	4.25441588236093e-05	9.89463936309195e-14
35	4.24309634003738e-05	9.40454908993344e-14
36	4.23226268411324e-05	8.95067441019845e-14
37	4.22188542592215e-05	8.52949087827263e-14
38	4.21193750131897e-05	8.13789617023992e-14
39	4.20239401915691e-05	7.77315045299916e-14
40	4.19323204114803e-05	7.43282640379303e-14
41	4.18443038855197e-05	7.11476712838309e-14
42	4.17596947188922e-05	7.25205405779724e-14
43	4.16783114048679e-05	6.95515369907541e-14
44	4.15999854916691e-05	6.6764304344479e-14
45	4.15245603980411e-05	6.41441440885335e-14
46	4.14518903581954e-05	6.1677825035727e-14
47	4.13818394796513e-05	5.93534100257187e-14
48	4.13142808999018e-05	5.71601061225362e-14
49	4.12490960298292e-05	5.50881347506185e-14
50	4.11861738734502e-05	5.31286187821164e-14
51	4.11254104150283e-05	5.12734840839595e-14
52	4.10667080657651e-05	4.95153734389698e-14
53	4.10099751633192e-05	5.08372044463557e-14
54	4.09551255182617e-05	4.91546204295919e-14
55	4.09020780023495e-05	4.75554878194515e-14
56	4.08507561740978e-05	4.60343255502398e-14
57	4.08010879377234e-05	4.45860982663464e-14
58	4.07530052319842e-05	4.3206173307363e-14
59	4.0706443745855e-05	4.18902824789135e-14
60	4.06613426583363e-05	4.06344880082381e-14
61	4.06176444000155e-05	3.94351521673919e-14
62	4.05752944342423e-05	3.82889101178968e-14
63	4.05342410560489e-05	3.71926455910175e-14
64	4.04944352071236e-05	3.61434690691648e-14
65	4.04558303053558e-05	3.51386981778113e-14
66	4.0418382087592e-05	3.41758400348334e-14
67	4.03820484644298e-05	3.52878984272277e-14
68	4.0346789385956e-05	3.4347847135413e-14
69	4.03125667174776e-05	3.34453832602395e-14
70	4.02793441243685e-05	3.25785123200514e-14
71	4.02470869652567e-05	3.17453711727984e-14
72	4.02157621928445e-05	3.09442177261777e-14
73	4.01853382617252e-05	3.01734215794771e-14
74	4.01557850426187e-05	2.94314555016549e-14
75	4.01270737425051e-05	2.87168876610953e-14
76	4.00991768301822e-05	2.80283745319912e-14
77	4.00720679668167e-05	2.73646544106593e-14
78	4.00457219410985e-05	2.67245414824098e-14
79	4.00201146086422e-05	2.61069203860354e-14
80	3.99952228353039e-05	2.55107412286583e-14
81	3.99710244441346e-05	2.4935015008669e-14
82	3.99474981656737e-05	2.43788094089193e-14
83	3.99246235913624e-05	2.38412449262366e-14
84	3.99023811298274e-05	2.47204183250073e-14
85	3.98807519658406e-05	2.41875354726818e-14
86	3.98597180217585e-05	2.36719146925964e-14
87	3.98392619212697e-05	2.31728126922261e-14
88	3.98193669552823e-05	2.26895259718418e-14
89	3.98000170498148e-05	2.22213882850459e-14
90	3.97811967357395e-05	2.17677682869805e-14
91	3.97628911202667e-05	2.13280673544818e-14
92	3.97450858600425e-05	2.09017175639267e-14
93	3.97277671357604e-05	2.04881798138315e-14
94	3.97109216281816e-05	2.00869420804565e-14
95	3.96945364954792e-05	1.96975177957221e-14
96	3.96785993518126e-05	1.93194443377141e-14
97	3.96630982470639e-05	1.89522816249081e-14
98	3.96480216476527e-05	1.85956108060309e-14
99	3.96333584183723e-05	1.8249033038174e-14
100	4.10333397747024e-05	1.84575841518766e-14
101	3.96052294188407e-05	1.75846545587802e-14
102	3.95917432195278e-05	1.72661463108858e-14
103	3.95786295020521e-05	1.7953495913197e-14
104	3.95658788819597e-05	1.76342961404125e-14
105	3.95534822822709e-05	1.73236317205063e-14
106	3.95414309208944e-05	1.70211989170661e-14
107	3.95297162986583e-05	1.67267074503514e-14
108	3.95183301879214e-05	1.64398797855901e-14
109	3.95072646217405e-05	1.61604504649296e-14
110	3.9496511883554e-05	1.58881654800027e-14
111	3.948606449736e-05	1.56227816823015e-14
112	3.94759152183527e-05	1.53640662287756e-14
113	3.94660570239997e-05	1.51117960602605e-14
114	3.94564831055352e-05	1.48657574105327e-14
115	3.94471868598369e-05	1.46257453439432e-14
116	3.9438161881684e-05	1.43915633197451e-14
