280	3.29674242309122e-08
280.05	3.3179575638775e-08
280.1	3.33930522261767e-08
280.15	3.36078620055306e-08
280.2	3.3824013035985e-08
280.25	3.40415134236828e-08
280.3	3.42603713220266e-08
280.35	3.44805949319431e-08
280.4	3.47021925021485e-08
280.45	3.49251723294167e-08
280.5	3.5149542758848e-08
280.55	3.53753121841384e-08
280.6	3.56024890478533e-08
280.65	3.58310818416992e-08
280.7	3.60610991067998e-08
280.75	3.62925494339708e-08
280.8	3.65254414639977e-08
280.85	3.67597838879161e-08
280.9	3.69955854472912e-08
280.95	3.72328549345007e-08
281	3.7471601193018e-08
281.05	3.77118331176964e-08
281.1	3.79535596550579e-08
281.15	3.81967898035794e-08
281.2	3.84415326139839e-08
281.25	3.86877971895308e-08
281.3	3.89355926863087e-08
281.35	3.91849283135301e-08
281.4	3.94358133338273e-08
281.45	3.96882570635505e-08
281.5	3.99422688730655e-08
281.55	4.01978581870556e-08
281.6	4.04550344848229e-08
281.65	4.0713807300593e-08
281.7	4.09741862238208e-08
281.75	4.12361808994962e-08
281.8	4.14998010284541e-08
281.85	4.17650563676839e-08
281.9	4.20319567306423e-08
281.95	4.2300511987567e-08
282	4.25707320657913e-08
282.05	4.28426269500617e-08
282.1	4.31162066828566e-08
282.15	4.33914813647053e-08
282.2	4.36684611545136e-08
282.25	4.39471562698838e-08
282.3	4.42275769874419e-08
282.35	4.45097336431651e-08
282.4	4.47936366327091e-08
282.45	4.50792964117421e-08
282.5	4.53667234962733e-08
282.55	4.56559284629901e-08
282.6	4.59469219495924e-08
282.65	4.62397146551309e-08
282.7	4.65343173403469e-08
282.75	4.68307408280133e-08
282.8	4.71289960032774e-08
282.85	4.74290938140068e-08
282.9	4.77310452711352e-08
282.95	4.80348614490113e-08
283	4.83405534857495e-08
283.05	4.86481325835818e-08
283.1	4.89576100092121e-08
283.15	4.92689970941723e-08
283.2	4.95823052351796e-08
283.25	4.98975458944972e-08
283.3	5.02147306002953e-08
283.35	5.05338709470142e-08
283.4	5.08549785957306e-08
283.45	5.11780652745263e-08
283.5	5.1503142778853e-08
283.55	5.18302229719083e-08
283.6	5.2159317785007e-08
283.65	5.24904392179557e-08
283.7	5.28235993394318e-08
283.75	5.31588102873597e-08
283.8	5.34960842692946e-08
283.85	5.38354335628048e-08
283.9	5.41768705158554e-08
283.95	5.45204075471992e-08
284	5.48660571467599e-08
284.05	5.52138318760294e-08
284.1	5.55637443684571e-08
284.15	5.59158073298466e-08
284.2	5.62700335387537e-08
284.25	5.66264358468849e-08
284.3	5.69850271794978e-08
284.35	5.73458205358081e-08
284.4	5.77088289893919e-08
284.45	5.80740656885965e-08
284.5	5.84415438569486e-08
284.55	5.88112767935656e-08
284.6	5.91832778735725e-08
284.65	5.95575605485166e-08
284.7	5.99341383467874e-08
284.75	6.03130248740364e-08
284.8	6.06942338135991e-08
284.85	6.10777789269235e-08
284.9	6.14636740539936e-08
284.95	6.1851933113764e-08
285	6.22425701045861e-08
285.05	6.26355991046475e-08
285.1	6.30310342724036e-08
285.15	6.34288898470204e-08
285.2	6.38291801488144e-08
285.25	6.42319195796945e-08
285.3	6.46371226236092e-08
285.35	6.50448038469923e-08
285.4	6.54549778992158e-08
285.45	6.58676595130429e-08
285.5	6.62828635050791e-08
285.55	6.67006047762329e-08
285.6	6.71208983121748e-08
285.65	6.75437591837975e-08
285.7	6.7969202547684e-08
285.75	6.83972436465713e-08
285.8	6.88278978098209e-08
285.85	6.92611804538908e-08
285.9	6.96971070828078e-08
285.95	7.01356932886483e-08
286	7.05769547520131e-08
286.05	7.10209072425113e-08
286.1	7.14675666192437e-08
286.15	7.19169488312882e-08
286.2	7.2369069918193e-08
286.25	7.28239460104635e-08
286.3	7.3281593330059e-08
286.35	7.37420281908893e-08
286.4	7.42052669993128e-08
286.45	7.46713262546405e-08
286.5	7.51402225496382e-08
286.55	7.56119725710352e-08
286.6	7.60865931000336e-08
286.65	7.65641010128207e-08
286.7	7.70445132810835e-08
286.75	7.75278469725268e-08
286.8	7.80141192513934e-08
286.85	7.85033473789879e-08
286.9	7.8995548714201e-08
286.95	7.94907407140387e-08
287	7.99889409341538e-08
287.05	8.0490167029379e-08
287.1	8.09944367542638e-08
287.15	8.15017679636138e-08
287.2	8.2012178613035e-08
287.25	8.25256867594737e-08
287.3	8.30423105617695e-08
287.35	8.3562068281203e-08
287.4	8.40849782820499e-08
287.45	8.46110590321391e-08
287.5	8.51403291034071e-08
287.55	8.5672807172465e-08
287.6	8.62085120211606e-08
287.65	8.67474625371465e-08
287.7	8.72896777144535e-08
287.75	8.78351766540584e-08
287.8	8.83839785644665e-08
287.85	8.89361027622876e-08
287.9	8.94915686728196e-08
287.95	9.00503958306352e-08
288	9.06126038801684e-08
288.05	9.11782125763051e-08
288.1	9.17472417849809e-08
288.15	9.23197114837761e-08
288.2	9.28956417625187e-08
288.25	9.34750528238859e-08
288.3	9.40579649840095e-08
288.35	9.464439867309e-08
288.4	9.52343744360063e-08
288.45	9.58279129329345e-08
288.5	9.64250349399642e-08
288.55	9.70257613497234e-08
288.6	9.76301131720005e-08
288.65	9.8238111534378e-08
288.7	9.88497776828629e-08
288.75	9.94651329825189e-08
288.8	1.00084198918109e-07
288.85	1.00706997094734e-07
288.9	1.01333549238479e-07
288.95	1.01963877197065e-07
289	1.02598002940492e-07
289.05	1.03235948561702e-07
289.1	1.03877736277234e-07
289.15	1.04523388427884e-07
289.2	1.05172927479376e-07
289.25	1.05826376023023e-07
289.3	1.06483756776401e-07
289.35	1.07145092584028e-07
